Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color
2014,Q4,Australia,Model Y,1683,99252.44,18,Long Range,RWD,Green
2016,Q1,North America,Model X,4702,86236.55,59,Long Range,RWD,Blue
2017,Q3,South America,Semi,1632,49917.07,54,Performance,RWD,Blue
2016,Q1,Asia,Semi,2995,93885.33,3,Performance,AWD,Blue
2017,Q4,South America,Model Y,4453,103169.57,52,Standard,AWD,Green
2020,Q4,North America,Semi,1732,95938.03,31,Standard,RWD,Red
2013,Q1,North America,Model Y,309,59402.71,11,Standard,RWD,White
2012,Q3,Australia,Semi,4510,71050.88,24,Standard,AWD,Blue
2022,Q1,Europe,Semi,412,69192.55,14,Performance,AWD,Red
2021,Q2,Australia,Cybertruck,4110,38985.15,22,Performance,RWD,Silver
2014,Q4,Europe,Model X,1715,63072.35,5,Long Range,RWD,Red
2012,Q2,Europe,Semi,1011,98484.73,48,Long Range,AWD,Green
2024,Q4,Asia,Model 3,3086,61598.37,2,Performance,AWD,Green
2022,Q3,Asia,Model Y,4068,74170.46,46,Long Range,AWD,Black
2014,Q1,Europe,Cybertruck,3785,66722.06,39,Performance,RWD,Green
2021,Q3,Asia,Model X,3301,41716.64,25,Long Range,AWD,Green
2019,Q4,Asia,Cybertruck,831,111057.25,58,Standard,AWD,Black
2013,Q3,Europe,Cybertruck,2019,83169.15,54,Long Range,RWD,Blue
2024,Q3,North America,Semi,2289,101601.59,28,Long Range,AWD,White
2014,Q4,Asia,Model X,922,42779.24,60,Long Range,RWD,White
2012,Q3,Australia,Model Y,743,96611.73,35,Standard,AWD,Green
2023,Q4,South America,Cybertruck,1651,73918.24,8,Long Range,AWD,Blue
2018,Q3,Asia,Semi,4072,117259.86,50,Standard,RWD,Blue
2024,Q4,Australia,Model 3,2530,55571.8,42,Standard,RWD,Blue
2012,Q4,Asia,Model Y,917,35896.56,16,Standard,AWD,Blue
2023,Q2,Asia,Model X,2860,73703.27,13,Performance,RWD,White
2020,Q2,South America,Model 3,2761,82587.16,29,Standard,RWD,Green
2013,Q1,South America,Model 3,3046,62708.72,29,Standard,RWD,Green
2013,Q2,Asia,Model S,2004,60957.3,11,Long Range,AWD,Silver
2017,Q1,Australia,Model 3,1648,104293.35,35,Performance,RWD,Blue
2023,Q4,South America,Cybertruck,977,83680.69,17,Performance,RWD,Silver
2013,Q2,Europe,Semi,4866,93576.35,55,Performance,RWD,Black
2022,Q1,Europe,Model Y,535,119361.33,55,Performance,AWD,Green
2013,Q4,South America,Semi,2329,94049.81,56,Long Range,RWD,Blue
2016,Q3,South America,Cybertruck,1119,83122.08,31,Long Range,AWD,Red
2016,Q1,Asia,Model X,725,66606.72,57,Performance,AWD,Red
2012,Q3,North America,Model Y,1132,75604.52,14,Long Range,AWD,Green
2018,Q4,Europe,Model S,873,46901.12,7,Performance,RWD,White
2022,Q1,Europe,Model Y,3211,44583.21,31,Performance,AWD,Silver
2012,Q1,Australia,Cybertruck,2396,88428.51,32,Long Range,RWD,Green
2022,Q1,Asia,Semi,3633,97046.46,54,Standard,AWD,Black
2023,Q3,Europe,Model X,1089,98730.99,55,Long Range,AWD,Red
2024,Q1,South America,Semi,994,54414.38,32,Standard,AWD,Red
2020,Q1,Europe,Model 3,4275,118420.18,25,Standard,RWD,White
2023,Q2,Europe,Model S,3409,37032.37,34,Long Range,AWD,White
2012,Q2,South America,Model Y,3101,73968.93,47,Standard,AWD,Silver
2016,Q2,North America,Model 3,1165,101294.64,37,Standard,AWD,Red
2023,Q1,Europe,Model X,1265,42753.1,15,Long Range,RWD,Silver
2012,Q2,Europe,Model 3,3331,66640.38,40,Performance,AWD,Silver
2018,Q4,Australia,Model S,3185,93073.1,11,Long Range,AWD,Black
2024,Q2,South America,Model S,3183,101462.84,22,Long Range,RWD,White
2013,Q2,Europe,Model X,4421,104384.24,58,Performance,AWD,Black
2021,Q2,South America,Model 3,4082,81080.59,11,Long Range,AWD,Red
2024,Q1,South America,Model X,644,66755.22,60,Performance,RWD,Silver
2023,Q3,Europe,Model 3,64,115646.99,60,Performance,RWD,Silver
2013,Q3,Australia,Model S,2222,52823.16,44,Standard,RWD,White
2022,Q2,Europe,Model Y,653,102931.54,2,Long Range,AWD,White
2018,Q2,North America,Model S,2762,52471.79,12,Long Range,RWD,Green
2015,Q1,North America,Model 3,1449,89246.21,5,Long Range,AWD,White
2016,Q1,Europe,Semi,842,42285.12,22,Performance,RWD,Silver
2022,Q2,North America,Model Y,1466,115670.23,10,Standard,AWD,Black
2020,Q4,North America,Semi,4863,79417.77,26,Standard,RWD,Black
2012,Q2,Asia,Model Y,1228,87550.78,43,Performance,RWD,Red
2013,Q2,Europe,Model X,3679,100792.63,20,Long Range,RWD,Silver
2020,Q1,Europe,Model 3,1694,106143.02,15,Standard,RWD,Red
2020,Q3,Asia,Model 3,2168,98661.7,44,Standard,RWD,Red
2019,Q2,Europe,Cybertruck,119,54020.45,38,Long Range,RWD,Blue
2019,Q1,Asia,Model X,2713,108226.79,16,Performance,RWD,Black
2012,Q2,Asia,Semi,1871,93337.04,40,Long Range,RWD,Silver
2015,Q3,Europe,Semi,2565,70740.17,56,Long Range,RWD,White
2014,Q2,Asia,Model Y,4714,110891.84,29,Standard,RWD,Green
2024,Q1,Europe,Cybertruck,3602,88846.44,25,Long Range,RWD,Blue
2018,Q3,Europe,Model S,424,60347.19,18,Long Range,RWD,Blue
2017,Q1,Australia,Semi,2145,100556.22,39,Standard,AWD,Green
2018,Q1,South America,Model X,1173,70600.19,57,Standard,AWD,White
2019,Q3,Europe,Model S,154,92088.82,58,Standard,RWD,Black
2016,Q3,Asia,Model Y,999,43074.87,48,Standard,AWD,Black
2023,Q4,Australia,Semi,1416,44609.81,44,Performance,AWD,Black
2019,Q4,North America,Model Y,3660,38907.65,16,Performance,RWD,Red
2020,Q1,North America,Semi,1335,77973.24,30,Long Range,AWD,Red
2019,Q3,North America,Model Y,195,43724.68,26,Standard,AWD,Red
2022,Q3,Australia,Model S,848,99542.2,14,Standard,RWD,White
2018,Q2,Australia,Model 3,2818,44160.09,26,Standard,AWD,Blue
2013,Q4,South America,Cybertruck,2686,77849.36,24,Long Range,AWD,White
2022,Q2,Europe,Cybertruck,4494,94016.52,20,Performance,AWD,White
2024,Q2,Asia,Semi,2102,47446.41,3,Performance,RWD,Black
2017,Q1,North America,Semi,2108,52262.41,55,Long Range,AWD,Green
2016,Q3,Europe,Model 3,4834,106911.21,0,Long Range,RWD,Green
2024,Q2,Australia,Cybertruck,4449,69290.45,22,Standard,AWD,Green
2012,Q3,Australia,Model S,3211,56810.2,46,Long Range,AWD,Silver
2022,Q2,Australia,Model S,1734,80709.11,44,Performance,RWD,Green
2018,Q4,Australia,Semi,3363,71807.13,1,Long Range,AWD,Silver
2019,Q4,Australia,Semi,302,75288.95,34,Standard,AWD,Green
2013,Q3,Europe,Semi,2866,52997.64,57,Performance,AWD,Black
2017,Q3,Europe,Semi,1971,43503.83,39,Standard,AWD,White
2018,Q3,Asia,Model 3,2766,109620.3,29,Long Range,RWD,White
2021,Q4,South America,Model 3,350,81885.49,34,Performance,RWD,Green
2024,Q2,South America,Model 3,3705,48533.91,36,Performance,AWD,Green
2019,Q1,North America,Semi,2704,43774.13,33,Performance,RWD,Green
2024,Q4,South America,Model S,4161,109972.91,28,Standard,AWD,Red
2018,Q1,Europe,Model S,1097,83746.35,10,Standard,AWD,Silver
2018,Q2,South America,Model 3,4234,57484.26,46,Performance,RWD,Blue
2012,Q1,North America,Model Y,1117,111668.7,34,Standard,RWD,Silver
2013,Q3,South America,Cybertruck,3397,56913.42,0,Performance,AWD,Silver
2021,Q3,South America,Model X,3305,99172.61,26,Performance,RWD,Black
2020,Q4,Asia,Cybertruck,476,48662.73,40,Standard,AWD,Black
2012,Q2,Australia,Model Y,137,52145.12,42,Performance,RWD,Black
2018,Q4,South America,Model 3,4291,36306.15,45,Standard,AWD,Silver
2020,Q1,South America,Model X,2835,115496.31,51,Performance,RWD,Silver
2015,Q2,Asia,Model Y,2942,78902.86,0,Performance,RWD,Black
2015,Q4,Europe,Model 3,2032,109183.11,13,Standard,AWD,Black
2021,Q3,Australia,Model 3,4237,58822.66,14,Performance,AWD,Red
2018,Q1,Asia,Model X,2177,50907.96,16,Standard,RWD,Blue
2013,Q3,Europe,Cybertruck,3590,107786.24,12,Standard,AWD,Blue
2019,Q1,Australia,Semi,2791,57080.38,23,Performance,RWD,White
2021,Q3,Australia,Semi,1236,108801.9,40,Long Range,RWD,Green
2017,Q4,Australia,Model 3,1556,107608.01,8,Performance,AWD,Green
2013,Q1,Asia,Cybertruck,1322,42166.46,59,Long Range,RWD,Black
2020,Q4,Europe,Semi,4467,50048.11,38,Long Range,RWD,Silver
2024,Q2,Asia,Model X,3893,80483.41,44,Long Range,RWD,White
2018,Q2,Asia,Model S,3508,88152.46,33,Performance,RWD,White
2017,Q1,Europe,Model S,4432,36881.13,6,Long Range,RWD,Black
2024,Q2,North America,Model X,3264,41067.7,30,Standard,AWD,White
2015,Q4,Australia,Semi,2606,114578.3,10,Performance,AWD,Green
2018,Q2,North America,Model S,4810,101595.4,30,Performance,AWD,White
2024,Q3,Australia,Semi,1630,36814.99,24,Long Range,AWD,White
2020,Q2,North America,Cybertruck,1319,73197.66,52,Long Range,RWD,Blue
2022,Q4,South America,Model 3,2369,62421.0,41,Long Range,AWD,Red
2020,Q3,North America,Model X,1858,86506.06,4,Standard,AWD,Green
2013,Q3,North America,Model 3,4305,43255.14,46,Standard,RWD,Black
2017,Q2,South America,Cybertruck,3679,114349.2,57,Long Range,RWD,White
2016,Q1,South America,Model 3,2522,35558.35,14,Standard,RWD,Red
2016,Q3,North America,Cybertruck,3325,83370.52,13,Performance,AWD,Green
2018,Q4,North America,Model 3,4984,113935.52,40,Performance,RWD,Red
2024,Q4,Europe,Model 3,2803,42016.33,36,Performance,AWD,Silver
2023,Q2,Europe,Model S,2231,101025.61,20,Performance,AWD,Red
2017,Q2,North America,Model S,496,55659.11,39,Standard,RWD,Red
2014,Q1,Australia,Cybertruck,4365,38695.97,10,Standard,RWD,Black
2023,Q1,Asia,Model Y,4941,80182.65,11,Standard,RWD,Silver
2016,Q1,Asia,Model Y,291,115251.62,60,Long Range,AWD,Black
2015,Q2,South America,Cybertruck,1707,108319.95,19,Performance,AWD,Blue
2022,Q3,Europe,Model 3,924,46181.4,1,Performance,RWD,Silver
2015,Q2,North America,Model Y,172,113661.98,60,Long Range,AWD,Green
2023,Q3,Australia,Cybertruck,4735,85473.49,33,Performance,AWD,Silver
2016,Q3,Australia,Model 3,3510,60025.68,58,Standard,AWD,Blue
2019,Q1,Asia,Model X,1393,96061.85,7,Standard,AWD,Green
2014,Q2,North America,Model Y,2573,61309.06,49,Long Range,RWD,Green
2022,Q4,Australia,Model Y,3669,41749.42,38,Standard,AWD,Silver
2016,Q3,North America,Model S,942,70441.34,11,Standard,RWD,Silver
2020,Q1,Asia,Model Y,1152,45371.97,55,Long Range,RWD,Silver
2021,Q3,Europe,Cybertruck,4659,77193.74,46,Performance,RWD,Blue
2020,Q2,North America,Semi,1698,93651.45,16,Standard,RWD,White
2019,Q1,Europe,Model Y,1322,88312.04,57,Performance,RWD,Blue
2018,Q2,South America,Cybertruck,3241,50927.21,7,Long Range,RWD,Green
2013,Q4,South America,Model S,4003,111921.24,9,Standard,RWD,Blue
2021,Q1,Asia,Model Y,427,43763.74,49,Performance,RWD,Red
2012,Q1,Europe,Cybertruck,2919,81696.08,17,Standard,RWD,Silver
2023,Q4,South America,Model X,2609,63248.23,12,Performance,AWD,Blue
2016,Q3,Australia,Model 3,2756,102046.19,56,Long Range,RWD,Blue
2020,Q1,Asia,Cybertruck,3826,69069.4,26,Standard,AWD,Silver
2019,Q1,South America,Cybertruck,3842,62657.14,6,Long Range,AWD,White
2022,Q1,Europe,Semi,1272,73502.83,18,Long Range,RWD,Black
2020,Q1,North America,Semi,4637,104764.03,22,Standard,RWD,Red
2017,Q4,Europe,Model X,1078,46413.58,4,Performance,AWD,Black
2015,Q2,Australia,Cybertruck,110,84124.77,54,Performance,AWD,Green
2024,Q3,Australia,Cybertruck,690,79485.33,39,Standard,AWD,Blue
2018,Q3,Asia,Model X,1422,38002.73,59,Performance,RWD,Green
2016,Q2,South America,Model X,2304,107917.96,0,Performance,AWD,Silver
2014,Q4,Australia,Model Y,1999,91156.72,46,Performance,AWD,Black
2015,Q4,Australia,Model Y,2201,47337.74,55,Long Range,AWD,White
2016,Q1,Asia,Semi,4835,68248.07,49,Performance,AWD,Green
2017,Q2,Asia,Model X,1631,37893.55,39,Standard,AWD,Silver
2019,Q1,Australia,Model X,3547,93838.83,42,Long Range,RWD,Black
2022,Q4,North America,Model 3,4478,100340.12,13,Performance,AWD,Blue
2018,Q1,South America,Semi,4069,75641.85,25,Performance,AWD,Silver
2020,Q3,North America,Model Y,2425,90062.37,11,Performance,AWD,Blue
2015,Q4,Australia,Model S,4478,89689.65,31,Performance,RWD,Red
2022,Q1,Australia,Cybertruck,425,55628.02,41,Standard,AWD,Black
2023,Q4,Asia,Model S,4768,81400.21,20,Standard,AWD,Silver
2021,Q4,Europe,Model S,4039,41861.42,0,Standard,AWD,Green
2012,Q2,Australia,Cybertruck,771,88311.29,50,Long Range,RWD,Blue
2024,Q2,Australia,Model Y,1494,48579.57,59,Standard,AWD,Green
2013,Q2,Australia,Cybertruck,4799,62707.65,12,Performance,RWD,Black
2019,Q2,Australia,Model X,1167,73907.92,12,Performance,RWD,White
2024,Q2,South America,Cybertruck,1931,42350.32,54,Performance,RWD,Black
2019,Q1,Australia,Cybertruck,3280,75737.89,51,Performance,AWD,Blue
2014,Q4,South America,Semi,4831,37075.15,29,Long Range,AWD,Green
2021,Q2,North America,Cybertruck,2800,97539.67,3,Performance,RWD,Red
2024,Q2,Europe,Model X,2939,111324.31,32,Performance,RWD,White
2013,Q2,Australia,Model S,706,68208.01,11,Long Range,AWD,Red
2015,Q1,North America,Model 3,4306,89797.12,26,Performance,RWD,Green
2016,Q1,Europe,Model X,2379,73753.76,10,Performance,AWD,Green
2020,Q1,Asia,Model X,1261,66697.77,34,Standard,RWD,Red
2021,Q2,South America,Semi,3671,63788.18,7,Performance,RWD,Red
2024,Q3,Europe,Model S,734,80765.05,28,Performance,AWD,Silver
2019,Q1,Europe,Semi,3689,98029.85,26,Long Range,RWD,Black
2013,Q1,Australia,Semi,2289,70233.69,35,Long Range,AWD,Black
2022,Q4,North America,Semi,2406,70458.33,31,Performance,AWD,Red
2016,Q2,South America,Model S,1247,62172.89,56,Performance,AWD,White
2024,Q2,South America,Model X,2640,105279.87,43,Long Range,RWD,Green
2015,Q1,Australia,Model Y,675,44908.08,8,Standard,RWD,White
2014,Q2,Europe,Model S,3530,93719.54,50,Standard,AWD,Red
2021,Q2,South America,Model 3,1563,92001.06,1,Standard,AWD,Green
2024,Q1,North America,Model 3,4180,107360.23,30,Long Range,AWD,Blue
2023,Q3,South America,Semi,382,41991.08,31,Standard,RWD,White
2022,Q4,North America,Model Y,3638,79426.3,43,Standard,AWD,Black
2018,Q4,Asia,Semi,4817,85460.25,48,Performance,RWD,White
2013,Q1,North America,Model Y,269,117626.17,24,Performance,RWD,Black
2020,Q1,North America,Model Y,1025,67608.54,20,Long Range,RWD,Blue
2020,Q4,Australia,Cybertruck,1330,78068.23,25,Long Range,RWD,Silver
2022,Q3,Australia,Model S,3557,64337.16,22,Long Range,RWD,Red
2021,Q4,Asia,Model S,3897,84979.08,20,Long Range,RWD,White
2022,Q1,South America,Model 3,2404,57538.18,19,Performance,RWD,Black
2020,Q3,Australia,Semi,4473,61635.0,26,Long Range,RWD,Silver
2018,Q1,South America,Model 3,3034,74311.37,15,Standard,RWD,Blue
2015,Q1,Europe,Model X,3852,76257.5,27,Long Range,AWD,Black
2018,Q3,North America,Model Y,1201,55063.5,36,Performance,AWD,Silver
2023,Q2,Australia,Model 3,1231,44079.19,13,Long Range,RWD,Blue
2023,Q3,Asia,Model S,335,106525.2,42,Standard,AWD,White
2016,Q2,Europe,Model Y,2648,109754.72,49,Performance,RWD,Red
2020,Q3,Australia,Semi,274,99767.91,41,Performance,AWD,Green
2024,Q2,South America,Semi,3411,102374.6,20,Long Range,RWD,Green
2015,Q1,North America,Cybertruck,1923,112081.81,29,Standard,RWD,Green
2022,Q4,North America,Model 3,1714,51196.25,55,Long Range,RWD,Green
2015,Q3,South America,Semi,3803,42287.79,30,Standard,RWD,Green
2021,Q1,North America,Model X,4183,87670.92,19,Long Range,RWD,Black
2014,Q4,Asia,Semi,3003,113730.15,18,Long Range,RWD,Silver
2019,Q4,North America,Model Y,384,72529.17,45,Performance,RWD,Blue
2012,Q2,Australia,Model S,2066,100301.54,43,Standard,RWD,Red
2022,Q1,Asia,Model S,3761,62617.81,46,Performance,AWD,Black
2015,Q2,Australia,Model Y,2384,90009.28,41,Standard,AWD,White
2018,Q1,Australia,Model X,1576,71899.0,27,Standard,AWD,Silver
2016,Q2,South America,Model Y,2470,83325.53,35,Standard,AWD,Silver
2014,Q4,North America,Model S,3459,109524.2,19,Long Range,RWD,Green
2014,Q4,Australia,Semi,3368,108846.34,47,Performance,RWD,White
2012,Q2,Australia,Semi,1239,90227.89,27,Performance,AWD,Red
2018,Q1,Asia,Model S,891,88584.84,45,Long Range,RWD,Blue
2013,Q3,Australia,Model Y,1007,77057.05,60,Performance,RWD,Blue
2018,Q3,Australia,Model 3,1747,59008.86,47,Standard,RWD,Black
2020,Q1,North America,Model X,3577,44687.39,14,Standard,AWD,Blue
2013,Q1,South America,Model S,4205,43959.94,40,Standard,AWD,White
2015,Q4,Asia,Model X,4187,49557.25,17,Long Range,RWD,White
2014,Q1,South America,Model S,744,63755.81,25,Standard,RWD,Red
2014,Q4,Australia,Semi,1730,110444.28,39,Performance,RWD,Green
2020,Q3,South America,Model X,1360,36990.85,56,Performance,RWD,Black
2012,Q4,Asia,Model 3,4814,83075.76,57,Performance,AWD,White
2019,Q1,Europe,Semi,3537,105417.2,5,Standard,AWD,Blue
2018,Q2,Europe,Cybertruck,1091,76204.97,29,Standard,AWD,Green
2017,Q3,Asia,Model X,2458,76303.67,50,Standard,AWD,Silver
2017,Q4,Australia,Semi,1137,99765.85,32,Performance,RWD,Blue
2022,Q1,Europe,Semi,253,83619.56,50,Performance,RWD,Silver
2024,Q2,Europe,Semi,4797,72759.5,51,Performance,RWD,Blue
2016,Q2,Europe,Model X,784,48109.33,60,Long Range,AWD,Red
2015,Q2,Australia,Cybertruck,4182,67729.14,7,Long Range,AWD,White
2019,Q1,South America,Model 3,1216,66730.94,10,Standard,RWD,Silver
2022,Q2,South America,Cybertruck,2354,38866.2,47,Performance,AWD,White
2015,Q3,Asia,Model 3,3816,116514.38,21,Standard,AWD,Green
2022,Q1,Asia,Model Y,4975,65427.09,11,Performance,AWD,Red
2016,Q4,South America,Model 3,108,51667.38,52,Performance,RWD,Red
2023,Q3,Europe,Semi,239,119315.87,44,Performance,RWD,Green
2012,Q2,North America,Model X,3491,80254.87,20,Standard,RWD,Black
2019,Q4,North America,Cybertruck,2788,106443.14,15,Standard,RWD,Black
2017,Q1,Europe,Model S,3670,39657.05,39,Performance,RWD,Red
2021,Q1,Asia,Semi,262,73596.52,21,Performance,AWD,Red
2024,Q1,North America,Model 3,2603,84684.4,32,Performance,RWD,White
2018,Q3,Europe,Model 3,1698,101747.42,21,Standard,RWD,Green
2012,Q2,Europe,Model Y,1796,55316.62,47,Long Range,RWD,Black
2012,Q1,Europe,Model 3,2377,49802.46,56,Long Range,AWD,White
2022,Q2,South America,Cybertruck,3603,109662.97,4,Standard,AWD,Black
2024,Q3,Europe,Cybertruck,4834,110295.91,13,Performance,AWD,Blue
2019,Q3,South America,Model Y,4833,90227.67,13,Standard,AWD,Blue
2012,Q4,South America,Cybertruck,2805,71218.7,29,Long Range,RWD,White
2015,Q1,North America,Model S,3001,38253.92,12,Long Range,AWD,Green
2018,Q1,Australia,Semi,4249,119088.34,60,Standard,RWD,Black
2019,Q1,Asia,Model 3,4780,109268.77,19,Performance,AWD,Blue
2017,Q4,Australia,Model 3,3250,40415.29,24,Standard,RWD,Red
2016,Q2,Europe,Model X,4345,40948.25,3,Long Range,AWD,Black
2023,Q4,Europe,Cybertruck,4761,114828.11,37,Standard,RWD,White
2019,Q3,Asia,Model Y,1484,70279.48,11,Performance,RWD,Blue
2013,Q3,North America,Model S,4182,100155.82,20,Long Range,RWD,Black
2014,Q3,Australia,Model Y,3829,40800.16,35,Performance,AWD,Green
2016,Q2,Australia,Model X,1507,53417.16,2,Performance,AWD,Blue
2017,Q2,Europe,Model S,181,70843.03,0,Long Range,AWD,Green
2020,Q4,Australia,Model S,1953,53171.3,22,Long Range,AWD,Red
2013,Q2,Asia,Model S,4964,62570.11,40,Performance,RWD,Green
2012,Q2,North America,Cybertruck,1066,61252.13,47,Long Range,AWD,Silver
2020,Q4,Asia,Model S,1926,106989.46,21,Long Range,AWD,Black
2015,Q1,Europe,Model 3,1078,42799.55,37,Performance,AWD,Black
2024,Q4,North America,Model X,3312,67105.99,30,Long Range,RWD,Silver
2018,Q4,Asia,Model Y,2370,66887.49,38,Long Range,AWD,White
2013,Q4,North America,Model S,3202,114231.01,10,Standard,RWD,White
